,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
330,Star Tavern,400 High St,"Orange, NJ 07050-1921","$$ - $$$, Italian, Bar, Pizza",4.5 of 5 bubbles,239 reviews,For decades I have taken my friends here who are from all over the world... if you love thin crust pizza made right this is the place!!!,+1 973-675-3336,https://www.tripadvisor.com//Restaurant_Review-g46707-d1016351-Reviews-Star_Tavern-Orange_New_Jersey.html,Check The Website for a Menu
331,Matthew's Italian Restaurant,1131 Bloomfield Ave,"Clifton, NJ 07012-2305","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,221 reviews,Delicious dinner with 8 family members.  Everyone loved their food.  From the bread on the table to appetizers to dinner to dessert.  So yummy.  Met Mathew he was so nice and gave us the history of the place.  We will definitely be back.,+1 973-928-4300,https://www.tripadvisor.com//Restaurant_Review-g46365-d2176065-Reviews-Matthew_s_Italian_Restaurant-Clifton_New_Jersey.html,Check The Website for a Menu
332,Sla Thai Restaurant,38 Upper Montclair Plz,"Montclair, NJ 07043-1320","$$ - $$$, Asian, Thai, Vegetarian Friendly",4.5 of 5 bubbles,36 reviews,First time coming here last night and oh my gosh how memorable it was! I had curry that is a signature dish from northern part of Thailand and the taste is just mind blowing. The staffs are all very polite and helpful and decent portion...More,+1 973-509-0111,https://www.tripadvisor.com//Restaurant_Review-g46637-d10110181-Reviews-Sla_Thai_Restaurant-Montclair_New_Jersey.html,Check The Website for a Menu
333,Fin Raw Bar and Kitchen,183 Glenridge Ave,"Montclair, NJ 07042-3526","$$ - $$$, American, Seafood",4 of 5 bubbles,153 reviews,"Oh the food is the freshest ever. Sushi bar rocks. Wait staff good looking, fun and helpful in selecting from the awesome dishes and specials. Fish tacos are superb. This is also best run location.",+1 973-744-0068,https://www.tripadvisor.com//Restaurant_Review-g46637-d2441083-Reviews-Fin_Raw_Bar_and_Kitchen-Montclair_New_Jersey.html,Check The Website for a Menu
334,Falafel Hut,213 Bellevue Ave,"Montclair, NJ 07043-3813","$, Middle Eastern, Mediterranean, Vegetarian Friendly",4.5 of 5 bubbles,58 reviews,First time visit. I’m still learning how to spell a dish I love—Falafel. Falafel Hut is a small place mostly for take-out of Mediterranean food with 20 cafeteria-style hard chairs. We dined in. A minute walk from Upper Montclair train station. We found street parking...More,+1 973-746-7730,https://www.tripadvisor.com//Restaurant_Review-g46637-d3731670-Reviews-Falafel_Hut-Montclair_New_Jersey.html,http://www.falafelhutnj.com/menu
335,The Manor Restaurant,111 Prospect Ave,"West Orange, NJ 07052-4202","$$$$, Seafood, American, Vegetarian Friendly",4 of 5 bubbles,353 reviews,"So nice and pretty, the food was 👍🏻 great I 💗 unfortunately I can add any picture, but was great and fun day w my family and friends .",+1 973-731-2360,https://www.tripadvisor.com//Restaurant_Review-g60796-d1315177-Reviews-The_Manor_Restaurant-West_Orange_New_Jersey.html,Check The Website for a Menu
336,Bistro 18,18 S Fullerton Ave,"Montclair, NJ 07042-3359","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,76 reviews,"Nice restaurant , good food , all our choices were delicious Service was good. We will come back for sure",+1 973-233-0800,https://www.tripadvisor.com//Restaurant_Review-g46637-d2251992-Reviews-Bistro_18-Montclair_New_Jersey.html,Check The Website for a Menu
337,Destination Dogs,101 Paterson St,"New Brunswick, NJ 08901-1912","$, American",4.5 of 5 bubbles,210 reviews,A small restaurant/bar in New Brunswick.  The unique thing about it is their menu.  Different hot dog combinations and sausage sandwiches.  We tried the hot dogs and they were great.  Also saw customers eating different dishes and everything looked very good.  Prices were reasonable.,+1 732-993-1016,https://www.tripadvisor.com//Restaurant_Review-g46664-d3515385-Reviews-Destination_Dogs-New_Brunswick_New_Jersey.html,Check The Website for a Menu
338,Steakhouse 85,85 Church St,"New Brunswick, NJ 08901-1242","$$$$, American, Steakhouse, Vegetarian Friendly",4.5 of 5 bubbles,342 reviews,"Went here a couple of days ago with a friend for a reunion of sorts. Easy to get to with parking available at the parking deck across the street. Nice setup inside, definitely a steakhouse feel.

Started out with Long Island Little Neck Clams and...More",+1 732-247-8585,https://www.tripadvisor.com//Restaurant_Review-g46664-d1804192-Reviews-Steakhouse_85-New_Brunswick_New_Jersey.html,Check The Website for a Menu
339,Sophie's Bistro,700 Hamilton St,"Somerset, NJ 08873-3273","$$ - $$$, French, European, Vegetarian Friendly",4.5 of 5 bubbles,304 reviews,Great wine choices; attended a wedding shower; wonderful service; and the most important part -- great food!,+1 732-545-7778,https://www.tripadvisor.com//Restaurant_Review-g46826-d637500-Reviews-Sophie_s_Bistro-Somerset_New_Jersey.html,http://www.sophiesbistro.net/menus.html
340,Old Man Rafferty's,106 Albany St,"New Brunswick, NJ 08901-2106","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,498 reviews,"+
Ate here several days in the same week - food and service were consistently excellent.
Big portion sizes!
Friendly waiting & bar staff.
Quick service.
Very reasonable prices.
Honest waiting staff - our waitress chased us out the door to tell us that a...More",+1 732-846-6153,https://www.tripadvisor.com//Restaurant_Review-g46664-d459139-Reviews-Old_Man_Rafferty_s-New_Brunswick_New_Jersey.html,Check The Website for a Menu
341,Veganized,9 Spring St,"New Brunswick, NJ 08901-2107","$$ - $$$, American, Vegan Options, Vegetarian Friendly",4.5 of 5 bubbles,98 reviews,"It's almost a shame with the choice of name as it woudl put off the carniovors in the crowd. This is unfounded as the food is excellent and very tasty. The creative flavours means there is something for everyone, regadless of dietary persuasion. 

The move...More",+1 732-342-7412,https://www.tripadvisor.com//Restaurant_Review-g46664-d8029239-Reviews-Veganized-New_Brunswick_New_Jersey.html,Check The Website for a Menu
342,INC Restaurant,302 George St,"New Brunswick, NJ 08901-2039","$$ - $$$, American, Bar, Vegetarian Friendly",4.5 of 5 bubbles,116 reviews,"The staff were very attentive and they gave me a good wine recommendation, a very good service. I had the salmon and it was delicious and ate every bite and no trouble dealing with gluten free. Some of the food options were unusually I would...More",+1 732-640-0553,https://www.tripadvisor.com//Restaurant_Review-g46664-d7616386-Reviews-INC_Restaurant-New_Brunswick_New_Jersey.html,http://increstaurant.com/menus/
343,The Frog and The Peach,29 Dennis St,"New Brunswick, NJ 08901-1206","$$$$, American, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,350 reviews,"This is a very attractive restaurant with delicious food and excellent service. We started with a roasted carrot salad which was delicious. We both had the chicken which was outstanding. I never order things like macaroni and cheese, but I did, and it is not...More",+1 732-846-3216,https://www.tripadvisor.com//Restaurant_Review-g46664-d459425-Reviews-The_Frog_and_The_Peach-New_Brunswick_New_Jersey.html,Check The Website for a Menu
344,sahara restaurant,165 Easton Ave,"New Brunswick, NJ 08901-1856","$$ - $$$, Mediterranean, Middle Eastern, Vegetarian Friendly",4 of 5 bubbles,185 reviews,"Really great tabouleh (salad) but the hummus had no taste. The dessert (keskul) was fine but meant to be shared, and the eggplant had too much oil. Overall think the presentation was fabulous but food quality was ok.",+1 732-246-3020,https://www.tripadvisor.com//Restaurant_Review-g46664-d2059831-Reviews-Sahara_restaurant-New_Brunswick_New_Jersey.html,Check The Website for a Menu
345,Clydz,55 Paterson St,"New Brunswick, NJ 08901-2296","$$ - $$$, American, Bar",4 of 5 bubbles,250 reviews,"Clydz to me is synonymous with interesting and unusual food.
We were STUNNED to find it changed to a standard pub menu removing everything that would bring me through the door.
I don’t understand how they can succeed being the same as everyone else (and...More",+1 732-846-6521,https://www.tripadvisor.com//Restaurant_Review-g46664-d510482-Reviews-Clydz-New_Brunswick_New_Jersey.html,Check The Website for a Menu
346,Catherine Lombardi Restaurant,3 Livingston Ave,"New Brunswick, NJ 08901-1903","$$$$, Italian, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,230 reviews,"+
Food was ok - my basil linguine was undercooked but the prawns were nice. Sauce was incredibly oily though.
Very nice physical surroundings.

- 
We were sat at a circular booth in the back that was way too narrow. Was a tight squeeze for...More",+1 732-296-9463,https://www.tripadvisor.com//Restaurant_Review-g46664-d1239753-Reviews-Catherine_Lombardi_Restaurant-New_Brunswick_New_Jersey.html,Check The Website for a Menu
347,Harvest Moon Brewery,392 George St,"New Brunswick, NJ 08901-2018","$$ - $$$, American, Pub, Vegetarian Friendly",4 of 5 bubbles,233 reviews,We met our friends here for dinner.  We sat upstairs.  The food was excellent and the beer was interesting.  The staff were very friendly and didn't rush us while we visited.,+1 732-249-6666,https://www.tripadvisor.com//Restaurant_Review-g46664-d459483-Reviews-Harvest_Moon_Brewery-New_Brunswick_New_Jersey.html,Check The Website for a Menu
348,Esquina Latina,25 Liberty St,"New Brunswick, NJ 08901-1210","$$ - $$$, Latin, Cuban, Caribbean",4 of 5 bubbles,100 reviews,Visted on a sat night...busy so make sure you reserve a table...moderately priced....excellent portions...started with 3 beef empanadas....tasty and not greasy at all....also had the cuban chorizo..could have been spicier..but it was excellent...for entrees stuffed porkchop with chorizo and manchego cheese....smothered in pears and onions...also...More,+1 732-543-1630,https://www.tripadvisor.com//Restaurant_Review-g46664-d8607884-Reviews-Esquina_Latina-New_Brunswick_New_Jersey.html,http://www.esquinalatinarestaurant.com/Happy-Hours-Menu.html
349,Stage Left Steak,5 Livingston Ave,"New Brunswick, NJ 08901-1903","$$$$, Steakhouse, American, International",4 of 5 bubbles,192 reviews,"Can't talk about prices because I was at a dinner party and not responsible for payment.   The hors de ouevres that were passed were delicious.   The filet mignon was excellent--i don't know what it was charred with but the crust was fabulous, as was the...More",+1 732-828-4444,https://www.tripadvisor.com//Restaurant_Review-g46664-d457787-Reviews-Stage_Left_Steak-New_Brunswick_New_Jersey.html,Check The Website for a Menu
350,Salt Seafood & Oyster Bar,103 Church St,"New Brunswick, NJ 08901-1242","$$ - $$$, Seafood",4.5 of 5 bubbles,36 reviews,On a recommendation from a colleague three of us went to Salt last Monday.  It was spectacular.  Raw oysters were delicious.  The halibut was perfect.  I've been to several restaurants in NB including most of the top ones but the high quality food and lack...More,+1 732-745-7258,https://www.tripadvisor.com//Restaurant_Review-g46664-d16694048-Reviews-Salt_Seafood_Oyster_Bar-New_Brunswick_New_Jersey.html,https://saltrestaurantnj.com/wp-content/uploads/2018/09/BarMenuFull.pdf
351,Tastee Sub Shop,267 Plainfield Ave,"Edison, NJ 08817-3733","$, American, Fast Food, Deli",4.5 of 5 bubbles,247 reviews,It was the same as 35  years ago  .they are truly  the best subs  I ever had. Sorry  to hear that pat  passed on,+1 732-985-5423,https://www.tripadvisor.com//Restaurant_Review-g46410-d1744375-Reviews-Tastee_Sub_Shop-Edison_New_Jersey.html,http://www.tasteesubshop.com/Menu-Page.html
352,Ramen Nagomi,49 Bayard St,"New Brunswick, NJ 08901-2114","$$ - $$$, Japanese, Asian",4.5 of 5 bubbles,31 reviews,Surprisingly there is a ramen restaurant here. Friendly service. Suited to US taste but works for me when the temp is -5degC and the soup warm me up. Fried chicken is good.,+1 732-317-2623,https://www.tripadvisor.com//Restaurant_Review-g46664-d10505190-Reviews-Ramen_Nagomi-New_Brunswick_New_Jersey.html,Check The Website for a Menu
353,Efes,32 Easton Ave,"New Brunswick, NJ 08901-1817","$$ - $$$, Mediterranean, Middle Eastern, Turkish",4.5 of 5 bubbles,66 reviews,"Valentines Day dinner for two at Efes was a great dinner choice.  I ordered the mixed Mediterranean dinner which was a hearty choice of gyros, lamb kabob and char-grilled chicken kabob over rice with salad.  My wife's meal was a  s Mussaka which described as...More",+1 732-249-4100,https://www.tripadvisor.com//Restaurant_Review-g46664-d803661-Reviews-Efes-New_Brunswick_New_Jersey.html,Check The Website for a Menu
354,Stuff Yer Face,49 Easton Ave,"New Brunswick, NJ 08901-1830","$, American, Bar",4 of 5 bubbles,142 reviews,"I went with my daughter and her college friends. We had two fishbowls which were awesome and ate Stromboli’s 
I am from London, England and was over in NJ for a long weekend visiting friends at Rutgers.",+1 732-247-1727,https://www.tripadvisor.com//Restaurant_Review-g46664-d459486-Reviews-Stuff_Yer_Face-New_Brunswick_New_Jersey.html,Check The Website for a Menu
355,PITHARI TAVERNA,28 Woodbridge Ave,"Highland Park, NJ 08904-3234","$$ - $$$, Mediterranean, Greek, Vegetarian Friendly",4 of 5 bubbles,201 reviews,"This place has great food. We got our food quickly, staff was friendly, atmosphere casual, and we did not feel rushed at all. Plus the water tastes good.",+1 732-572-0616,https://www.tripadvisor.com//Restaurant_Review-g46508-d1051392-Reviews-PITHARI_TAVERNA-Highland_Park_New_Jersey.html,Check The Website for a Menu
356,Aja Asian Cuisine and Lounge,28 US Highway 1,"New Brunswick, NJ 08901-1562","$$ - $$$, Japanese, Sushi, Asian",4 of 5 bubbles,83 reviews,This restaurant was close to the hotel I was staying at. food was average but since it was so cold out side I did not want to go far.,+1 732-249-5888,https://www.tripadvisor.com//Restaurant_Review-g46664-d4135109-Reviews-Aja_Asian_Cuisine_and_Lounge-New_Brunswick_New_Jersey.html,http://aja-newbrunswick.com/aja/wp-content/uploads/2017/05/Dine-In-Menu-2017-1.pdf
357,Edison Diner,101 US Highway 1,"Edison, NJ 08817-5040","$$ - $$$, American, Diner, Vegetarian Friendly",4 of 5 bubbles,220 reviews,"You name it: Breakfast, Lunch or dinner. The selection it is great.

The appetizers and desserts too

No small wonder NJ is known for its diners.",+1 732-985-3335,https://www.tripadvisor.com//Restaurant_Review-g46410-d2514764-Reviews-Edison_Diner-Edison_New_Jersey.html,Check The Website for a Menu
358,Delta's,19 Dennis St,"New Brunswick, NJ 08901-1206","$$ - $$$, American",3.5 of 5 bubbles,159 reviews,"Cozy upscale soulfood bar and restsurant! Food was delicious and drinks on point! Kitchen closes at 11, so my party sat at the bar, ate appetizers and enjoyed the live band!",+1 732-249-1551,https://www.tripadvisor.com//Restaurant_Review-g46664-d541213-Reviews-Delta_s-New_Brunswick_New_Jersey.html,Check The Website for a Menu
359,Panico's,103 Church St,"New Brunswick, NJ 08901-1242","$$ - $$$, Italian, Vegetarian Friendly, Gluten Free Options",3.5 of 5 bubbles,127 reviews,"I ordered food here using Uber Eats and the pizza, garlic bread, and garlic knots were delicious. It was very fresh.",+1 732-545-6100,https://www.tripadvisor.com//Restaurant_Review-g46664-d544971-Reviews-Panico_s-New_Brunswick_New_Jersey.html,Check The Website for a Menu
360,Filippo's Famous Pizza,336 George St,"New Brunswick, NJ 08901-2011","$, Italian, Pizza, Vegetarian Friendly",4 of 5 bubbles,36 reviews,"By all accounts, this is a standard pizza restaurant. It's clean, pleasant and roomy. But what sets it apart is the quality of the pizzas, which are outstanding.",+1 732-846-9060,https://www.tripadvisor.com//Restaurant_Review-g46664-d5053305-Reviews-Filippo_s_Famous_Pizza-New_Brunswick_New_Jersey.html,Check The Website for a Menu
361,Namli Mediterranean Turkish Cuisine,88 Central Ave,"New Brunswick, NJ 08901-1706","$$ - $$$, Mediterranean, Turkish, Middle Eastern",4.5 of 5 bubbles,21 reviews,"Good food, friendly service and a cosy atmosphere. If you enjoy tasty fulfilling and healthy meals you should try this Turkish restaurant.",+1 732-543-0116,https://www.tripadvisor.com//Restaurant_Review-g46664-d11592303-Reviews-Namli_Mediterranean_Turkish_Cuisine-New_Brunswick_New_Jersey.html,Check The Website for a Menu
362,Houlihan's,55 US Highway 1,"New Brunswick, NJ 08901-1530","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,90 reviews,The hostness greeted us with a wonderful smile. Our server Alyssa was friendly and efficent. The food is always delicious and the restroom was clean.,+1 732-448-0500,https://www.tripadvisor.com//Restaurant_Review-g46664-d3215246-Reviews-Houlihan_s-New_Brunswick_New_Jersey.html,http://www.houlihans.com/eats-and-drinks/menu/lunch/farmingdale
363,Aposto,76 Raritan Ave,"Highland Park, NJ 08904-2425","$$ - $$$, Italian, Mediterranean, Vegetarian Friendly",4.5 of 5 bubbles,39 reviews,My regular Saturday night dinner spot. Service is always friendly. The menu is Greek and Italian plus pizza. Daily specials are available. This is a relatively small place so you should make a reservation if you have a party of more than four people. Food...More,+1 732-745-9011,https://www.tripadvisor.com//Restaurant_Review-g46508-d3159540-Reviews-Aposto-Highland_Park_New_Jersey.html,http://www.ApostoRestaurant.com/ShowMenu.tpl?cart=156529923511568279
364,Glass Woods Tavern,2 Albany St,"New Brunswick, NJ 08901-1236","$$ - $$$, American",4 of 5 bubbles,52 reviews,"This restaurant is located within the Hyatt in downtown New Brunswick. Easiest parking is within the Hyatt deck, but you do need to pay. Have been several times for dinner and the restaurant has been pretty slow. Service is excellent, and I would highly recommend...More",+1 732-867-2300,https://www.tripadvisor.com//Restaurant_Review-g46664-d1187643-Reviews-Glass_Woods_Tavern-New_Brunswick_New_Jersey.html,Check The Website for a Menu
365,Dashen Ethiopian Cuisine,88 Albany Street,"New Brunswick, NJ 08901","$$ - $$$, African, Ethiopian, Vegetarian Friendly",4.5 of 5 bubbles,23 reviews,"This restaurant is one of my favorites I have visited. The food is above and beyond, just delicious! I fell in love with the Ethiopian cuisine. The place is clean, authentic, relaxing environment. The service is great. It has become a big space, it can...More",+1 732-249-0494,https://www.tripadvisor.com//Restaurant_Review-g46664-d11862457-Reviews-Dashen_Ethiopian_Cuisine-New_Brunswick_New_Jersey.html,Check The Website for a Menu
366,Evelyn's Restaurant,45 Easton Ave,"New Brunswick, NJ 08901-1830","$$ - $$$, International, Mediterranean, Middle Eastern",4 of 5 bubbles,54 reviews,"I expected much more. We each had a lamb dish. The meat was good but everything else was just ok. The food presentation left much to be desired as did the ambiance. It was very cold inside, big draft from the door and just overall...More",+1 732-246-8792,https://www.tripadvisor.com//Restaurant_Review-g46664-d554473-Reviews-Evelyn_s_Restaurant-New_Brunswick_New_Jersey.html,Check The Website for a Menu
367,Matthew's Italian Restaurant,1131 Bloomfield Ave,"Clifton, NJ 07012-2305","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,221 reviews,Delicious dinner with 8 family members.  Everyone loved their food.  From the bread on the table to appetizers to dinner to dessert.  So yummy.  Met Mathew he was so nice and gave us the history of the place.  We will definitely be back.,+1 973-928-4300,https://www.tripadvisor.com//Restaurant_Review-g46365-d2176065-Reviews-Matthew_s_Italian_Restaurant-Clifton_New_Jersey.html,Check The Website for a Menu
368,Rutt's Hut,417 River Rd,"Clifton, NJ 07014-1520","$, American, Fast Food",4 of 5 bubbles,495 reviews,"Be sure to bring cash only...Good food...burgers, hot dogs, fries (although you may need to buy several orders to fill the kids up)...Service was good and fast and prices reasonable...didn't blow me away but generally it was a pleasant stop off to satisfy hungry kids...although...More",+1 973-779-8615,https://www.tripadvisor.com//Restaurant_Review-g46365-d522531-Reviews-Rutt_s_Hut-Clifton_New_Jersey.html,Check The Website for a Menu
369,Cafe Matisse,167 Park Ave,"Rutherford, NJ 07070-2307",$$$$,4.5 of 5 bubbles,227 reviews,"Great place, never disappoints!!! Each course was spectacular, w all of the flavors blending into an incredible symphony in your mouth.",+1 201-935-2995,https://www.tripadvisor.com//Restaurant_Review-g46796-d492172-Reviews-Cafe_Matisse-Rutherford_New_Jersey.html,Check The Website for a Menu
370,Zinburger Wine & Burger Bar,850 State Rt 3,"Clifton, NJ 07012-2341","$$ - $$$, Wine Bar, American, Bar",4 of 5 bubbles,209 reviews,"In the first year, we went twice and were impressed by the double-digit-cost burgers. We were saving it for splurge days.  The last three times the burgers were overdone and the bread fairly stale. Three strikes and you’re out, in my book.",+1 973-272-1492,https://www.tripadvisor.com//Restaurant_Review-g46365-d2389379-Reviews-Zinburger_Wine_Burger_Bar-Clifton_New_Jersey.html,Check The Website for a Menu
371,Spuntino Wine Bar & Italian Tapas,70 Kingsland Rd,"Clifton, NJ 07014-1904","$$ - $$$, Italian, Wine Bar, Vegetarian Friendly",4 of 5 bubbles,181 reviews,"I had somehow gotten on their email list and the place always sounded interesting so I met a friend for dinner here.  The menu has a lot of very interesting sounding dishes on it.  They also have wine flights that you can have.

The food...More",+1 973-661-2435,https://www.tripadvisor.com//Restaurant_Review-g46365-d3156933-Reviews-Spuntino_Wine_Bar_Italian_Tapas-Clifton_New_Jersey.html,Check The Website for a Menu
372,Toros,489 Hazel St,"Clifton, NJ 07011-2846","$$ - $$$, Mediterranean, European, Turkish",4.5 of 5 bubbles,90 reviews,"This is a wonderful Turkish restaurant beautifully decorated to make you feel like you’re in Turkey.  The lunch special features soup or salad, appetizer, entree and coffee or tea for a very reasonable price.  The lamb kabob was just right.  Good choice of interesting appetizers,...More",+1 973-772-8032,https://www.tripadvisor.com//Restaurant_Review-g46365-d3543133-Reviews-Toros-Clifton_New_Jersey.html,http://www.torosrestaurant.com/our-menu/
373,De Novo European Pub,275 Bellevue Ave,"Montclair, NJ 07043-1300","$$ - $$$, American, Bar, European",4.5 of 5 bubbles,205 reviews,We came to De Nova for a business meeting and found the restaurant to be warm cozy and casual.    After  looking over the menu  I was thrilled to see the pasta was available gluten free.  Past attempts at gluten free pasta resulted in tasteless and...More,+1 973-893-5008,https://www.tripadvisor.com//Restaurant_Review-g46637-d7045260-Reviews-De_Novo_European_Pub-Montclair_New_Jersey.html,http://Denovomontclair.com#menu
374,ROYAL WARSAW,871 River Dr,"Elmwood Park, NJ 07407-1001","$$ - $$$, Polish, European, Eastern European",4.5 of 5 bubbles,129 reviews,"Went here recently with my wife for dinner. She got the combination dinner plate and I go the stuffed cabbage. The food was excellent.  But I should have gotten the conbination dinner like my wife had. Her dinner included 2 stuffed cabbage, perrogri , and...More",+1 201-794-9277,https://www.tripadvisor.com//Restaurant_Review-g46416-d788345-Reviews-ROYAL_WARSAW-Elmwood_Park_New_Jersey.html,Check The Website for a Menu
375,The Shannon Rose,98 Kingsland Ave,"Clifton, NJ 07014-1906","$$ - $$$, American, Irish, Bar",4 of 5 bubbles,128 reviews,"Went here for my daughters 22nd birthday.  She goes to Montclair.  We had group of 10.  Everybody loved their appetizers (wings, FO Soup, etc)...But the hit was my Deviled Eggs...it came with this crusted shell and was outstanding.  Everybody loved their main meal.  I got...More",+1 973-284-0200,https://www.tripadvisor.com//Restaurant_Review-g46365-d3158736-Reviews-The_Shannon_Rose-Clifton_New_Jersey.html,http://theshannonrose.com/menu/
376,Rumba Cubana - Clifton,2 South Pkwy,"Clifton, NJ 07014-1410","$$ - $$$, Latin, Cuban, Caribbean",4.5 of 5 bubbles,56 reviews,"OMG the worst service ever. I have ordered from this restaurant 4 times.
EACH and EVERY time they have forgotten an item from the order. It's ridiculous. How hard is it to take an order, cook and pack? NO flow, no organization. No one knows...More",+1 973-777-2999,https://www.tripadvisor.com//Restaurant_Review-g46365-d12944657-Reviews-Rumba_Cubana_Clifton-Clifton_New_Jersey.html,http://www.rumbacubana.com/clifton/food-and-restaurants-regular-menu
377,Noches De Colombia,25 Lake Ave,"Clifton, NJ 07011-1509","$$ - $$$, Latin, Spanish, South American",4 of 5 bubbles,118 reviews,"we ordered a grilled skirt steak salad and it came out cold and bad. the meat was hard and not warm at all. also, the service as well was terrible, they didn’t want to return our money. WOULD NOT RECOMMEND COMING HERE AT ALL!!!!",973-928-4553,https://www.tripadvisor.com//Restaurant_Review-g46365-d3136345-Reviews-Noches_De_Colombia-Clifton_New_Jersey.html,Check The Website for a Menu
378,La Riviera Trattoria,421 Piaget Ave,"Clifton, NJ 07011-3002","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,114 reviews,Celiac and gluten free friendly restaurant. They have a separate gluten free kitchen. Very knowledgeable and aware of food allergies. Gluten free menu available. The food is excellent.,+1 973-478-4181,https://www.tripadvisor.com//Restaurant_Review-g46365-d1984124-Reviews-La_Riviera_Trattoria-Clifton_New_Jersey.html,Check The Website for a Menu
379,Grande saloon,940 Van Houten Ave,"Clifton, NJ 07013-2717","$$ - $$$, American, Bar, Pub",4 of 5 bubbles,60 reviews,"Locals love the place because they “always go here and always have.” It's best left for them. Not that it’s bad, but it’s standard non-chain Applebee’s-type food... you know, frozen then reheated for you.  Service is sluggish but pleasant enough. During weekends and busy times...More",+1 973-472-5207,https://www.tripadvisor.com//Restaurant_Review-g46365-d3613379-Reviews-Grande_saloon-Clifton_New_Jersey.html,http://www.grandesaloon.com#mobile-menu
380,Tick Tock Diner NJ,281 Allwood Rd,"Clifton, NJ 07012-1703","$$ - $$$, American, Diner, Vegetarian Friendly",3.5 of 5 bubbles,434 reviews,Went for lunch with a friend. Had not been back since the redo.  Place is clean. Service was great.  Lunch portions were so large we took to go bags with at least half of our sandwiches.,+1 973-777-0511,https://www.tripadvisor.com//Restaurant_Review-g46365-d548776-Reviews-Tick_Tock_Diner_NJ-Clifton_New_Jersey.html,Check The Website for a Menu
381,Taste of Tuscany,1051 Bloomfield Ave,"Clifton, NJ 07012-2167","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,68 reviews,"On Christmas eve I got a dish(don't remember the name) which had shrimp, scallops and artichokes. It was completely over cooked except the linquine which was watery(not collandered) properly. The Shrimp and artichoke were mush and the scallops could bounce off the table like a...More",+1 973-916-0700,https://www.tripadvisor.com//Restaurant_Review-g46365-d459530-Reviews-Taste_of_Tuscany-Clifton_New_Jersey.html,Check The Website for a Menu
382,Mishmish Cafe,215 Glenridge Ave,"Montclair, NJ 07042-3562","$$ - $$$, Mediterranean, Middle Eastern, Israeli",4.5 of 5 bubbles,213 reviews,"Delicious and different. Israeli and eastern Mediterranean cuisine is no longer inaccessible--usually healthy and flavorful. Mishmish was a step above the rest--unique combinations and especially seasoned. Brunch was a delight--Israeli breakfast, shakshouka. Dessert choices were limited but exceptional. Generous portions and not outrageously priced.",+1 973-337-5648,https://www.tripadvisor.com//Restaurant_Review-g46637-d7596058-Reviews-Mishmish_Cafe-Montclair_New_Jersey.html,https://mishmishcafe.com/lunch-menu
383,The Allwood Diner,Allwood Road,"Clifton, NJ 07012","$$ - $$$, American, Diner, Vegetarian Friendly",4 of 5 bubbles,105 reviews,"Our first visit ever even though its less than 10 miles away,but it will not be our last.Large menu with very fair prices.Our server was perfect,there when we needed him but not over bearing.I enjoyed the Alwood wrap and my wife had their version of...More",+1 973-365-2575,https://www.tripadvisor.com//Restaurant_Review-g46365-d2552857-Reviews-The_Allwood_Diner-Clifton_New_Jersey.html,Check The Website for a Menu
384,Queen Margherita,246 Washington Ave,"Nutley, NJ 07110-1924","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,170 reviews,"Pasquale is a true host, not only a great cook, Matre 'D and a good singer too. He is always aware of the time you wait and brings pizza to te people waiting in the hallway. he appreciates your patronage.",+1 973-662-0007,https://www.tripadvisor.com//Restaurant_Review-g46690-d783810-Reviews-Queen_Margherita-Nutley_New_Jersey.html,Check The Website for a Menu
385,LuNello's Resturant,182 Stevens Ave,"Cedar Grove, NJ 07009-1149","$$$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,114 reviews,"My sisters and their husbands and I went here for my Mom’s 88th birthday. Wonderful restaurant. The food and service were spectacular. The portions were surprisingly large. But of course you pay for what you get. My brother-in-law picked up the tab, which had to...More",+1 973-837-1660,https://www.tripadvisor.com//Restaurant_Review-g46348-d6833248-Reviews-LuNello_s_Resturant-Cedar_Grove_New_Jersey.html,Check The Website for a Menu
386,Anthony's Coal Fired Pizza,852 New Jersey 3,"Clifton, NJ 07012","$$ - $$$, Pizza, Italian, American",4 of 5 bubbles,86 reviews,Horrible experience! Waited half hour to be seated and then more than an hour to get the food we ordered. We asked for water and were told the glasses were being washed because they didn’t have enough. 😮Finally got the pizza and it was burned....More,+1 973-471-2625,https://www.tripadvisor.com//Restaurant_Review-g46365-d3592523-Reviews-Anthony_s_Coal_Fired_Pizza-Clifton_New_Jersey.html,https://acfp.com/menu
