,Name,Street Address,Location,Type,Reviews,No of Reviews,Comments,Contact Number,Trip_advisor Url,Menu
275,Z Counter,1220 Airline Rd Ste 155,"Corpus Christi, TX 78412-3489","$, Asian, Vegetarian Friendly",4.5 of 5 bubbles,55 reviews,Z Counter is a great find - hidden away in a strip center somewhat off the beaten path.  But it is worth your time.  The food is amazing.,+1 361-991-1115,https://www.tripadvisor.com//Restaurant_Review-g60927-d7189017-Reviews-Z_Counter-Corpus_Christi_Texas.html,Check The Website for a Menu
276,Brewster Street Ice House,1724 N Tancahua St,"Corpus Christi, TX 78401-1010","$$ - $$$, American, Bar, Pub",4 of 5 bubbles,197 reviews,The food varies from steak to chicken to fish to shrimp. There is even veggie trays. The service is fast kind and professional. You go to the counter to order your food and they waitresses go tot your table to serve you drinks. The runners...More,Not Available,https://www.tripadvisor.com//Restaurant_Review-g60927-d2390699-Reviews-Brewster_Street_Ice_House-Corpus_Christi_Texas.html,Check The Website for a Menu
277,B&J's Pizza,6335 S Padre Island Dr,"Corpus Christi, TX 78412-4013","$$ - $$$, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,103 reviews,"Outstanding Pizza and Wings in a Great Beer Bar! The pizza had a thin crust that had a great yeasty flavor and was cooked really hot, with a great texture to the crust. The toppings were plentiful and high quality. We tried sausage - bacon...More",+1 361-992-6671,https://www.tripadvisor.com//Restaurant_Review-g60927-d404644-Reviews-B_J_s_Pizza-Corpus_Christi_Texas.html,http://www.bandjspizza.com/wp-content/uploads/2018/01/To-Go-Menu.pdf
278,Da Vinci Ristorante Italiano,6455 S Fry Rd,"Katy, TX 77494-8321","$$$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,374 reviews,"We have eaten at Da Vinci numerous times over many years and have never been disappointed.

The food and the service are both consistently good. The food and wine menu selections are varied and if you like seafood you can’t go wrong. The meat dishes,...More",+1 281-392-2115,https://www.tripadvisor.com//Restaurant_Review-g56062-d2459104-Reviews-Da_Vinci_Ristorante_Italiano-Katy_Texas.html,Check The Website for a Menu
279,Ephesus Mediterranean Grill,510 S Mason Rd,"Katy, TX 77450-2446","$$ - $$$, Mediterranean, Turkish, Middle Eastern",4.5 of 5 bubbles,197 reviews,Food is always fresh and good but the staff are beyond welcoming and attentive. I particularly love the eggplant salad and the red lentil soup.,+1 281-391-4777,https://www.tripadvisor.com//Restaurant_Review-g56062-d2365521-Reviews-Ephesus_Mediterranean_Grill-Katy_Texas.html,Check The Website for a Menu
280,Antonia's Restaurant,2001 Katy Mills Blvd Ste A,"Katy, TX 77494-4880","$$ - $$$, Italian, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,314 reviews,"My husband and I were in town for the night to run the Katy half marathon the next morning. Not familiar with the area and wanting to carb load, we looked into nearby Italian restaurants. We were pleasantly surprised to find this gem. We had...More",+1 281-644-6000,https://www.tripadvisor.com//Restaurant_Review-g56062-d1640094-Reviews-Antonia_s_Restaurant-Katy_Texas.html,Check The Website for a Menu
281,Local Table,22756 Westheimer Pkwy,"Katy, TX 77450-8823","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4.5 of 5 bubbles,203 reviews,Loved everything!  Good service and ambiance. I had the gyro plate and it was excellent. I had enough left over to enjoy the next day for lunch. Will definitely be going back.,+1 832-913-6150,https://www.tripadvisor.com//Restaurant_Review-g56062-d10213526-Reviews-Local_Table-Katy_Texas.html,Check The Website for a Menu
282,Babin's Seafood House,21851 Katy Fwy,"Katy, TX 77450","$$ - $$$, American, Seafood, Vegan Options",4 of 5 bubbles,445 reviews,"As usual, my wife and I had a delicious meal at Babin’s!  Our server was excellent and very attentive.  I had my usual crawfish half & half and my wife had a salmon and shrinking kabob.",+1 281-829-9200,https://www.tripadvisor.com//Restaurant_Review-g56062-d442850-Reviews-Babin_s_Seafood_House-Katy_Texas.html,Check The Website for a Menu
283,Perry's Steakhouse & Grille - Cinco Ranch,23501 Cinco Ranch Blvd,"Katy, TX 77494-3095","$$$$, American, Steakhouse, Gluten Free Options",4 of 5 bubbles,342 reviews,"The food at Perry’s is definitely delicious, but come prepared to pay for it $$$. We ended up paying nearly 100$ per person by the time the meal was over.",+1 281-347-3600,https://www.tripadvisor.com//Restaurant_Review-g56062-d1409366-Reviews-Perry_s_Steakhouse_Grille_Cinco_Ranch-Katy_Texas.html,Check The Website for a Menu
284,Midway Barbeque,6025 Highway Blvd,"Katy, TX 77494-1101","$$ - $$$, American, Barbecue",4.5 of 5 bubbles,220 reviews,Stopped in while out of town for business. The place had the look of a good BBQ.  I had the sliced pork platter. The pork was lukewarm at best due to the fact that it was sliced from the larger piece that had been sitting...More,+1 281-391-2830,https://www.tripadvisor.com//Restaurant_Review-g56062-d2550803-Reviews-Midway_Barbeque-Katy_Texas.html,http://midwaybbqkatytx.com/images/In%2520House%2520Menu%2520-%2520PRESS.pdf
285,Los Cucos Mexican Restaurant,5831 Highway Blvd,"Katy, TX 77494-1206","$$ - $$$, Mexican, Southwestern, Latin",4 of 5 bubbles,419 reviews,The quality of the food is always consistent. This is one of my Katy favorites for Mexican food.  The service can be hit and miss at times and this night it was mostly good. If you want somewhere to have a conversation you may want...More,+1 281-391-9466,https://www.tripadvisor.com//Restaurant_Review-g56062-d442846-Reviews-Los_Cucos_Mexican_Restaurant-Katy_Texas.html,Check The Website for a Menu
286,Little V Vietnamese Bistro,4031 Fm 1463 Rd Ste 68,"Katy, TX 77494-5964","$$ - $$$, Asian, Vietnamese, Vegetarian Friendly",4.5 of 5 bubbles,97 reviews,Service was good but flavor was missing  . It’s changed owners  and not been up to par . Had the chicken Pho,+1 281-394-9888,https://www.tripadvisor.com//Restaurant_Review-g56062-d5421853-Reviews-Little_V_Vietnamese_Bistro-Katy_Texas.html,Check The Website for a Menu
287,Jimmy Changas,300 Westgreen Blvd,"Katy, TX 77450-3749","$$ - $$$, Mexican, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,267 reviews,"Food was fresh and flavorful.  I had the fish tacos (I don't get them at home), and thoroughly loved every bit.  The chips and salsa were good, as was the salsa con queso (we Americans mistakenly just call it ""queso."")  Clean and festive, this is...More",+1 832-321-5927,https://www.tripadvisor.com//Restaurant_Review-g56062-d6276268-Reviews-Jimmy_Changas-Katy_Texas.html,https://www.jimmychangas.com/jimmy-changas-menu/
288,Lupe Tortilla,703 W Grand Pkwy S,"Katy, TX 77494-8405","$$ - $$$, Mexican, Southwestern, Vegetarian Friendly",4 of 5 bubbles,310 reviews,"Updated menu, great choices, and as always great service once u get seated. Will go back anytime great Mexican food  is in the venue, o and a great margarita.",+1 281-392-2322,https://www.tripadvisor.com//Restaurant_Review-g56062-d1973328-Reviews-Lupe_Tortilla-Katy_Texas.html,Check The Website for a Menu
289,Whiskey Cake Kitchen and Bar,23139 Grand Circle Blvd,"Katy, TX 77449-1971","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,198 reviews,Try the caramelized onion dip and the whiskey cake. Amazing. Por brisket and goat cheese fondue also very good. The staff is very friendly and helpful. The whiskey and wine selection very good,+1 832-430-2253,https://www.tripadvisor.com//Restaurant_Review-g56062-d11829071-Reviews-Whiskey_Cake_Kitchen_and_Bar-Katy_Texas.html,http://www.whiskeycakekaty.com/menu/
290,Snappys Cafe & Grill,5803 Highway Blvd,"Katy, TX 77494-1206","$, American, Diner",4.5 of 5 bubbles,140 reviews,"Business trip to Houston. My counterpart lives in Katy. I stayed in Katy for convenience as I was a ride along for the week. Morning of flying home, I saw the reviews. Mentioned it and was greeted with a smile. He recommended the classic SOS,...More",+1 281-391-8163,https://www.tripadvisor.com//Restaurant_Review-g56062-d1763728-Reviews-Snappys_Cafe_Grill-Katy_Texas.html,http://www.snappyskatytx.com/current-menu/
291,Saltgrass Steak House,21855 Katy Fwy,"Katy, TX 77450","$$ - $$$, American, Steakhouse, Bar",4 of 5 bubbles,290 reviews,Awesome customer service and great steak. Always a good location for a business meeting. You must try!,+1 281-647-9400,https://www.tripadvisor.com//Restaurant_Review-g56062-d442947-Reviews-Saltgrass_Steak_House-Katy_Texas.html,Check The Website for a Menu
292,Pho Saigon,"890 South Mason Rd Katy, TX 77450","Katy, TX","$, Asian, Vietnamese, Vegetarian Friendly",4.5 of 5 bubbles,80 reviews,"I don't live here and come for family reasons. I was there today for lunch with family I was not disappointed. Good food, nice service and good price/quality ratio. It was a good choice. Food is excellent.",+1 281-392-9022,https://www.tripadvisor.com//Restaurant_Review-g56062-d1860756-Reviews-Pho_Saigon-Katy_Texas.html,http://www.phosaigonnoodlehouse.com/menu
293,The Cellar Door,829 S Mason Rd,"Katy, TX 77450-3876","$$ - $$$, Wine Bar, American, International",4.5 of 5 bubbles,77 reviews,"This place opened several years ago and we tried it.  Not impressed at all!   Recently, some friends said they had been and like it so we thought we would give it another chance.  So much better!!  Nice atmosphere, good service (it can be spotty out...More",+1 281-599-3303,https://www.tripadvisor.com//Restaurant_Review-g56062-d4812770-Reviews-The_Cellar_Door-Katy_Texas.html,Check The Website for a Menu
294,Sushi Hana Japanese Kitchen,1638 S Mason Rd,"Katy, TX 77450-4563","$$ - $$$, Japanese, Sushi, Asian",4.5 of 5 bubbles,90 reviews,Been going here for years to back when it was the 1st sushi restaurant in Katy!  Tony and Ming started the restaurant and it has been exceptional since then. Love the sushi & sashimi plate!!,+1 281-395-8899,https://www.tripadvisor.com//Restaurant_Review-g56062-d491085-Reviews-Sushi_Hana_Japanese_Kitchen-Katy_Texas.html,Check The Website for a Menu
295,Black Walnut Cafe - Cinco Ranch,23233 Cinco Ranch Blvd,"Katy, TX 77494-2923","$$ - $$$, American, Cafe, Contemporary",4 of 5 bubbles,180 reviews,"Honestly, I used to get the Santa Fe chicken salad 2x a month-carry out This past year the quality, freshness & quantity of ingredients has declined. Not only less mango in relation to season but even when in season. Want black beans-more than a tbs,...More",+1 281-371-2233,https://www.tripadvisor.com//Restaurant_Review-g56062-d3815970-Reviews-Black_Walnut_Cafe_Cinco_Ranch-Katy_Texas.html,https://www.blackwalnutcafe.com/full-menu/
296,Buc-ee's #40,27700 Katy Fwy,"Katy, TX 77494-1082","$, Fast Food, American",4.5 of 5 bubbles,48 reviews,"Lots of pumps, cheap gas, spotless restrooms, great selection, friendly staff and great food.  What else can I say...wonderful place.",+1 979-238-6398,https://www.tripadvisor.com//Restaurant_Review-g56062-d13187169-Reviews-Buc_ee_s_40-Katy_Texas.html,Check The Website for a Menu
297,Peli Peli,23501 Cinco Ranch Blvd,"Katy, TX 77494-3095","$$ - $$$, International, Fusion, Contemporary",4.5 of 5 bubbles,90 reviews,Be sure to ask for Vaughn.  He will help you make the right choices.   Food was delicious- service perfect.  It will become my new “go to” place.   Count on that!,+1 281-257-9500,https://www.tripadvisor.com//Restaurant_Review-g56062-d12705947-Reviews-Peli_Peli-Katy_Texas.html,https://docs.wixstatic.com/ugd/93fbbb_6cc3e99f0b8241b5a46a80d90a3559e2.pdf
298,Tiger Noodle House,21945 Katy Fwy,"Katy, TX 77450-1775","$$ - $$$, Chinese, Asian, Vegetarian Friendly",4.5 of 5 bubbles,49 reviews,"Love Love Love this place! The soup dumplings are the best, I love that they are bite size. Also the best sesame chicken I have ever had, but the best dish in my opinion was the Green Beans with pork this is magic in your...More",+1 832-913-3938,https://www.tripadvisor.com//Restaurant_Review-g56062-d12196128-Reviews-Tiger_Noodle_House-Katy_Texas.html,https://tigernoodletexas.com/menu
299,Alicia's Mexican Grille,25725 Katy Fwy,"Katy, TX 77494-1286","$$ - $$$, Mexican, Southwestern, Vegetarian Friendly",4 of 5 bubbles,106 reviews,My son and I stopped in for a quick late lunch. We split an order of quesadillas and they were yummy! The green sauce and red sauce was tasty too. We will be back in the future to explore more items on the menu.,+1 281-347-1800,https://www.tripadvisor.com//Restaurant_Review-g56062-d3331810-Reviews-Alicia_s_Mexican_Grille-Katy_Texas.html,https://aliciasmexicangrille.com/menus/
300,The Rouxpour - Katy,2643 Commercial Center Blvd,"Katy, TX 77494-6408","$$ - $$$, Cajun & Creole, Seafood, American",4.5 of 5 bubbles,33 reviews,"I went there for dinner with friends and I had the blackened salmon.  It was very tasty.  I also had the mashed potatoes as a side, I cleaned my plate!  The food was good.

Long wait for the table, but there’s a bar you can...More",+1 281-394-5013,https://www.tripadvisor.com//Restaurant_Review-g56062-d15100857-Reviews-The_Rouxpour_Katy-Katy_Texas.html,https://www.therouxpour.com/menus/
301,Pane e Vino,8945 S Fry Rd,"Katy, TX 77494","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,54 reviews,We heard about Pane e Vino from a friend and decided to try it.  We were met by the owner and escorted to our table.  Three of us ordered the lasagna and thought it was really good.  The fourth person ordered the veal picatta and...More,+1 281-391-2222,https://www.tripadvisor.com//Restaurant_Review-g56062-d7715917-Reviews-Pane_e_Vino-Katy_Texas.html,Check The Website for a Menu
302,Uncle Julio's,20526 Katy Fwy,"Katy, TX 77449-7635","$$ - $$$, Mexican, Vegetarian Friendly",4 of 5 bubbles,164 reviews,"We had lunch here on a Saturday. Everything was fantastic. I had chicken fajitas which were wonderful. Everyone else really enjoyed their meals - it all looked fresh and yummy. The service was terrific, too!",+1 832-464-8946,https://www.tripadvisor.com//Restaurant_Review-g56062-d9865374-Reviews-Uncle_Julio_s-Katy_Texas.html,http://www.unclejulios.com/menu/
303,Dish Society,23501 Cinco Ranch Blvd,"Katy, TX 77494-3095","$$ - $$$, American, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,133 reviews,"Sat on the patio,very nice. Beer good. Waiter good. My wife's Coffee crusted pork was delicious. My brisket on baked sweet potatoes was bland. BBQ sauce poor, brisket was overcooked and chewy. Meal was not hot. One star for that dish. Menus has a good...More",+1 281-394-7555,https://www.tripadvisor.com//Restaurant_Review-g56062-d7887059-Reviews-Dish_Society-Katy_Texas.html,Check The Website for a Menu
304,Black Bear Diner,24600 Katy Fwy Ste 900,"Katy, TX 77494-7819","$$ - $$$, American, Diner, Vegetarian Friendly",4 of 5 bubbles,73 reviews,"On the positive side the place was clean and had a nice decor.  On the down side the food was average at best.  Had breakfast. The eggs were fine.  The sausage was so so. However, I ordered the hash browns which are supposedly a specialty...More",+1 281-574-7902,https://www.tripadvisor.com//Restaurant_Review-g56062-d13576868-Reviews-Black_Bear_Diner-Katy_Texas.html,Check The Website for a Menu
305,Spring Creek Barbeque,21000 Katy Fwy,"Katy, TX 77449-7770","$$ - $$$, American, Barbecue",4 of 5 bubbles,77 reviews,Was taken here for a biz lunch this week and was quite impressed. The meats were ultra tender and cooked to perfection. The sides well complimented the meat. Enjoyed a lot.,+1 281-829-0359,https://www.tripadvisor.com//Restaurant_Review-g56062-d3863166-Reviews-Spring_Creek_Barbeque-Katy_Texas.html,https://springcreekbarbeque.com/menu/
306,Texas Tradition,5321 Highway Blvd,"Katy, TX 77494-1306","$$ - $$$, American",4 of 5 bubbles,96 reviews,"Great service...both had fried catfish plates. Fish crispy. The sides were all good except the fried green tomatoes.  Those were gross.  
Nice little place off the interstate.",+1 281-391-6113,https://www.tripadvisor.com//Restaurant_Review-g56062-d2515627-Reviews-Texas_Tradition-Katy_Texas.html,Check The Website for a Menu
307,El Canton Firewood Pizzeria,981 S Mason Rd.,"Katy, TX 77450","$$ - $$$, Pizza, Italian, Vegetarian Friendly",4.5 of 5 bubbles,42 reviews,Loved the pizza!!! Definitely try the Margarita and Luna!!!  Service was great and everyone had a great time!  Price was very reasonable for taking the family!,+1 281-646-9677,https://www.tripadvisor.com//Restaurant_Review-g56062-d10040739-Reviews-El_Canton_Firewood_Pizzeria-Katy_Texas.html,Check The Website for a Menu
308,Cast Iron Grill,620 19th St,"Lubbock, TX 79401-5228","$$ - $$$, Grill, American, Vegan Options",4.5 of 5 bubbles,561 reviews,First time to cast iron grill and I will be back brandy my waitress was nice and courteous. Thank you for the great service I will be visiting again. Thank you Brandy,+1 806-771-7690,https://www.tripadvisor.com//Restaurant_Review-g56208-d1995601-Reviews-Cast_Iron_Grill-Lubbock_Texas.html,Check The Website for a Menu
309,Pecan Grill at the Overton Hotel,2322 Mac Davis Ln,"Lubbock, TX 79401-2219","$$ - $$$, American, Southwestern, Bar",4.5 of 5 bubbles,417 reviews,Everything was just the way we wanted it. Room could be turned down a bit more during the warmer days.,+1 806-776-7010,https://www.tripadvisor.com//Restaurant_Review-g56208-d2101323-Reviews-Pecan_Grill_at_the_Overton_Hotel-Lubbock_Texas.html,https://www.overtonhotel.com/dining/
310,One Guy Pizza,1101 University Ave,"Lubbock, TX 79401-2906","$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,377 reviews,"We have our regular places to eat in Lubbock. Today we found a new regular place. This place was incredible. The calzone was amazing. I am usually not a calzone guy, but since we were not splitting a pizza I decided what the heck. I...More",+1 806-747-1226,https://www.tripadvisor.com//Restaurant_Review-g56208-d5075805-Reviews-One_Guy_Pizza-Lubbock_Texas.html,Check The Website for a Menu
311,La Diosa Cellars,901 17th St,"Lubbock, TX 79401-5101","$$ - $$$, Mediterranean, Wine Bar, Spanish",4.5 of 5 bubbles,214 reviews,"One of my favorite restaurants. Food is amazing, staff is excellent, atmosphere is nice and paired with McPherson wine selections, it’s perfect for intimate dining.",17443600,https://www.tripadvisor.com//Restaurant_Review-g56208-d775481-Reviews-La_Diosa_Cellars-Lubbock_Texas.html,Check The Website for a Menu
312,Italian Garden,1215 Avenue J,"Lubbock, TX 79401-4019","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,276 reviews,"I enjoyed their spaghetti, but the pink sauce ravioli tasted more like the ravioli was stuffed with canned tuna....anyway,  very bland and not anything I would ever order again.  
They do accept reservations for large groups, but not for 2 or 4 people.  
I do...More",+1 806-771-2212,https://www.tripadvisor.com//Restaurant_Review-g56208-d10325835-Reviews-Italian_Garden-Lubbock_Texas.html,Check The Website for a Menu
313,Abuelo's,4401 82nd St,"Lubbock, TX 79424-3344","$$ - $$$, Mexican, Southwestern, Vegetarian Friendly",4.5 of 5 bubbles,631 reviews,I eat here quite often after church.  I usually eat the Best of the House but this time I decided to try the Chile Rellanos.  They were great.,+1 806-794-1762,https://www.tripadvisor.com//Restaurant_Review-g56208-d471284-Reviews-Abuelo_s-Lubbock_Texas.html,Check The Website for a Menu
314,50th Street Caboose,5027 50th St,"Lubbock, TX 79414-3420","$$ - $$$, Mexican, American, Vegetarian Friendly",4.5 of 5 bubbles,239 reviews,Food is pretty good. My wife liked the chicken pot pie. I found the chile relleno heavy. There are lots of video games to play and drinks available.,+1 806-796-2240,https://www.tripadvisor.com//Restaurant_Review-g56208-d518578-Reviews-50th_Street_Caboose-Lubbock_Texas.html,Check The Website for a Menu
315,Orlando's Italian Restaurant,6951 Indiana Ave,"Lubbock, TX 79413-6111","$$ - $$$, Italian, Pizza, Vegetarian Friendly",4.5 of 5 bubbles,588 reviews,"I'm not much for Italian food so I can't speak to that but I am a burger fan and I have eaten a lot of burgers in Lubbock and have been sorely disappointed until I came here and had there Over the Border Burger. Wow,...More",+1 806-797-8646,https://www.tripadvisor.com//Restaurant_Review-g56208-d1019621-Reviews-Orlando_s_Italian_Restaurant-Lubbock_Texas.html,https://orlandos.com/menus/
316,Triple J Chophouse & Brew,1807 Buddy Holly Ave,"Lubbock, TX 79401-5136","$$ - $$$, American, Steakhouse, Bar",4 of 5 bubbles,643 reviews,"My girlfriend and I were in Lubbock for a few days and we have lunch here on one of the days.  We went to Triple J based on reviews.  I ordered a grilled chicken sandwich with shoestring fries.  The sandwich was very good, the chicken...More",+1 806-771-6555,https://www.tripadvisor.com//Restaurant_Review-g56208-d1017765-Reviews-Triple_J_Chophouse_Brew-Lubbock_Texas.html,Check The Website for a Menu
317,Rudy's Country Store and Bar-B-Q,4930 S Loop 289,"Lubbock, TX 79414","$$ - $$$, American, Barbecue",4.5 of 5 bubbles,195 reviews,I like brisket and smoked meats but this place just was very underwhelming. Food was dry on a basic white bread hamburger bun. They had a table for condiments and all sides were prepackaged and very generic in flavor. Would have never gone if I...More,+1 806-797-1777,https://www.tripadvisor.com//Restaurant_Review-g56208-d675480-Reviews-Rudy_s_Country_Store_and_Bar_B_Q-Lubbock_Texas.html,Check The Website for a Menu
318,Pancake House,510 Avenue Q,"Lubbock, TX 79401-2612","$, American, Diner",4.5 of 5 bubbles,180 reviews,"Old-school W TX/Panhandle breakfast jernt. Nice folks, heavy on the Jesus imagery, excellent carbs & fried. Super friendly, and they've maintained the same kitchen & floor staff for decades, which tends to speak well of management. Heads-up: *very popular* on TTU Game Days, so plan...More",+1 806-765-8506,https://www.tripadvisor.com//Restaurant_Review-g56208-d633456-Reviews-Pancake_House-Lubbock_Texas.html,Check The Website for a Menu
319,Spanky's,9th and University,"Lubbock, TX","$$ - $$$, American, Bar",4 of 5 bubbles,264 reviews,"Drove by stopped and was pleasantly surprised. The Hamburgers were very good and looks like they have some sandwiches ill try when i come back. The Cheese Sticks were crazy big and very good., This place is worth the time to stop and enjoy",+1 806-744-5677,https://www.tripadvisor.com//Restaurant_Review-g56208-d547517-Reviews-Spanky_s-Lubbock_Texas.html,Check The Website for a Menu
320,The Plaza Restaurant,5029 Milwaukee Ave,"Lubbock, TX 79407-3808","$$ - $$$, Mexican, Southwestern, Vegetarian Friendly",4.5 of 5 bubbles,140 reviews,"When we arrived at The Plaza Restaurant I was surprised at how large it is.  Yet the ambiance inside didn't feel like a large chain diner.  The food was very good, especially the sour cream sauce.  YUM!  Price was good; atmosphere was good;  and food...More",+1 806-687-3823,https://www.tripadvisor.com//Restaurant_Review-g56208-d10388751-Reviews-The_Plaza_Restaurant-Lubbock_Texas.html,https://www.theplazarestaurant.com/menu/
321,Taqueria Jalisco,2211 Avenue Q,"Lubbock, TX 79411-2033","$, Mexican, Latin, Vegetarian Friendly",4.5 of 5 bubbles,115 reviews,"Was hoping this taqueria would be a little authentic and have a large selection of tacos, but it was really just another Americanized Mexican restaurant. The tacos were also extremely greasy and came with grilled? onions. Everyone knows tacos come with cilantro, raw onion, lime,...More",+1 806-763-7605,https://www.tripadvisor.com//Restaurant_Review-g56208-d3315937-Reviews-Taqueria_Jalisco-Lubbock_Texas.html,Check The Website for a Menu
322,Double Nickel Steak House,5405 Slide Rd,"Lubbock, TX 79414-3727","$$$$, American, Steakhouse",4 of 5 bubbles,283 reviews,We love a great steak house and this one is very good.  Since my wife is a celiac this has to be our first criteria.  We informed the hosts and the first waiter who guided us through our gluten free selection but did not realize...More,+1 806-792-0055,https://www.tripadvisor.com//Restaurant_Review-g56208-d608357-Reviews-Double_Nickel_Steak_House-Lubbock_Texas.html,Check The Website for a Menu
323,Texas Roadhouse,4810 S Loop 289,"Lubbock, TX 79414-4798","$$ - $$$, American, Steakhouse, Gluten Free Options",4 of 5 bubbles,198 reviews,"Thought I'd try the salmon. It was not terrible, just over-seasoned. I think they must season their fish like they do their steak. Otherwise, still one of the few places in Lubbock that continues to have good food at a good price.",+1 806-799-9900,https://www.tripadvisor.com//Restaurant_Review-g56208-d808895-Reviews-Texas_Roadhouse-Lubbock_Texas.html,http://www.texasroadhouse.com/menu
324,The Funky Door,6801 Milwaukee Ave.,"Lubbock, TX 79424","$$ - $$$, Wine Bar, Contemporary, Vegetarian Friendly",4 of 5 bubbles,200 reviews,"This is a great place. Excellent food, service, and atmosphere.  The wine list is huge. There was a bit of trouble finding a couple of listed selections, but the staff was able to locate a very nice bottle of a 2009 Bordeaux for a very...More",+1 806-687-0505,https://www.tripadvisor.com//Restaurant_Review-g56208-d1935758-Reviews-The_Funky_Door-Lubbock_Texas.html,https://www.thefunkydoor.com/menu
325,Las Brisas,4701 112th St,"Lubbock, TX 79424-7320","$$$$, American, Steakhouse, Gluten Free Options",4 of 5 bubbles,223 reviews,"Latin food with a diverse, generally well-dressed crowd. We had 3 or 4 tapas for our meal. Impeccable food with fresh ingredients. Fresh fish in Lubbock! Great bartender (though the Margarita was too sour for my date).",+1 806-687-6050,https://www.tripadvisor.com//Restaurant_Review-g56208-d662431-Reviews-Las_Brisas-Lubbock_Texas.html,Check The Website for a Menu
326,Stella's Restaurant,4646 50th St,"Lubbock, TX 79414-3508","$$ - $$$, Italian, Vegetarian Friendly, Gluten Free Options",4 of 5 bubbles,209 reviews,Stellas is closed permanently at this location. Stellas closed about six or months ago. I have to write sixty words to tell you that the restaurant is permanently closed.,+1 806-785-9299,https://www.tripadvisor.com//Restaurant_Review-g56208-d801275-Reviews-Stella_s_Restaurant-Lubbock_Texas.html,Check The Website for a Menu
327,Crafthouse Gastropub,3131 34th St.,"Lubbock, TX","$$ - $$$, American, Bar, Pub",4 of 5 bubbles,137 reviews,"Super inventive ingredients, many even stumped the servers. Very good craft beer selection. The food and ingredients are top notch.",+1 806-687-1466,https://www.tripadvisor.com//Restaurant_Review-g56208-d3428718-Reviews-Crafthouse_Gastropub-Lubbock_Texas.html,Check The Website for a Menu
328,Caprock Cafe,3405 34th St,"Lubbock, TX 79410-2829","$$ - $$$, Bar, American",4.5 of 5 bubbles,75 reviews,"This is a great place to hang out and have some great comfort food!.  Come as you are, watch the Red Raiders on the big screen tvs.",+1 806-784-0300,https://www.tripadvisor.com//Restaurant_Review-g56208-d4946532-Reviews-Caprock_Cafe-Lubbock_Texas.html,https://caprockcafe.com/menu/
329,Aspen Creek Grill,3012 West Loop 289,"Lubbock, TX 79407","$$ - $$$, American, Bar, Vegetarian Friendly",4 of 5 bubbles,123 reviews,"I love good seafood, but in Lubbock , Texas ? Yep , that's why I go, it's excellent. Wait staff is friendly and knowledgeable. I sat in the bar area at a high table and completely enjoyed myself. Plenty of TV's with sports on, but...More",+1 806-553-7930,https://www.tripadvisor.com//Restaurant_Review-g56208-d9789459-Reviews-Aspen_Creek_Grill-Lubbock_Texas.html,Check The Website for a Menu
330,Albarran's Mexican Bar & Grill,7722 Milwaukee Ave,"Lubbock, TX 79424-0622","$$ - $$$, Mexican, Vegetarian Friendly, Vegan Options",4 of 5 bubbles,116 reviews,"The service was very good, he even gave credit to the kitchen staff for the tips received from his customers.  Employers should have more people like him.
The food was the best I have had in a Mexican restaurant.  I had the trio fajitas which...More",+1 806-771-2869,https://www.tripadvisor.com//Restaurant_Review-g56208-d10067151-Reviews-Albarran_s_Mexican_Bar_Grill-Lubbock_Texas.html,https://albarrans.com/menu/
331,Cafe J,2605 19th St,"Lubbock, TX 79410-1502","$$ - $$$, American, International, Vegetarian Friendly",4 of 5 bubbles,123 reviews,We wanted a place to celebrate my birthday and I was treated to Cafe J.  This was special for me as I just returned to Lubbock after 47 years away and this was the old St. Mary's Hospital we came to when I was a...More,+1 806-743-5400,https://www.tripadvisor.com//Restaurant_Review-g56208-d1517058-Reviews-Cafe_J-Lubbock_Texas.html,Check The Website for a Menu
332,Cocina de La Sirena,2610 Salem Ave,"Lubbock, TX 79410-1725","$$$$, Healthy, Mexican, Vegetarian Friendly",4.5 of 5 bubbles,64 reviews,We read the reviews for this place and thought we should try it. Big mistake this had to be the worst food I have eaten in years. The service was good but if you want good food go somewhere else.,+1 806-368-7960,https://www.tripadvisor.com//Restaurant_Review-g56208-d10172998-Reviews-Cocina_de_La_Sirena-Lubbock_Texas.html,Check The Website for a Menu
333,Red Zone Cafe,3602 Slide Rd,"Lubbock, TX 79414-2532","$, American, Cafe",4.5 of 5 bubbles,71 reviews,"Reasonably priced down-home cooking--I had a chicken fried steak and, unlike most other places, it actually had steak in the middle and just enough breading---most places it's mostly breading and a little bit of steak---and the service was prompt and efficient---I recommend it highly",+1 806-784-0010,https://www.tripadvisor.com//Restaurant_Review-g56208-d2289162-Reviews-Red_Zone_Cafe-Lubbock_Texas.html,Check The Website for a Menu
